rowNum,Property_Unique_Number,Version_Number,Address,Price,Bed_Rooms,Property_Type,Property_Url,Agent_Name,Property_Status,Status_Date,Featured,Run_Date,Location
773,59709972,1,"Murray Road, Northwood",999,5,Detached,https://www.rightmove.co.uk/properties/59709972#/?channel=RES_BUY,"Robsons, Northwood - Sales",Initial entry,2019-01-24,,2023-10-21,"Pinner, Middlesex"
774,59709972,2,"Murray Road, Northwood",1649950,5,Detached,https://www.rightmove.co.uk/properties/59709972#/?channel=RES_BUY,"Robsons, Northwood - Sales",Reduced,2019-05-17,,2023-10-21,"Pinner, Middlesex"
775,59709972,3,"Murray Road, Northwood",1600000,5,Detached,https://www.rightmove.co.uk/properties/59709972#/?channel=RES_BUY,"Robsons, Northwood - Sales",Reduced,2020-07-17,,2023-10-21,"Pinner, Middlesex"
776,59709972,4,"Murray Road, Northwood",999,5,Detached,https://www.rightmove.co.uk/properties/59709972#/?channel=RES_BUY,"Robsons, Northwood - Sales",Reduced,2021-04-01,,2023-10-21,"Pinner, Middlesex"
777,59709972,5,"Murray Road, Northwood",1600000,5,Detached,https://www.rightmove.co.uk/properties/59709972#/?channel=RES_BUY,"Robsons, Northwood - Sales",Reduced,2022-06-23,,2023-10-21,"Pinner, Middlesex"
771,66274200,1,"Murray Road, Northwood, Middlesex, HA6",1650000,5,Detached,https://www.rightmove.co.uk/properties/66274200#/?channel=RES_BUY,"Savills, Northwood",Initial entry,2019-11-08,,2023-10-21,"Pinner, Middlesex"
772,66274200,2,"Murray Road, Northwood, Middlesex, HA6",1600000,5,Detached,https://www.rightmove.co.uk/properties/66274200#/?channel=RES_BUY,"Savills, Northwood",Reduced,2020-07-15,,2023-10-21,"Pinner, Middlesex"
1583,84723959,1,"Mill Drive, Ruislip, HA4",675000,3,Town House,https://www.rightmove.co.uk/properties/84723959#/?channel=RES_BUY,"Coopers, Ruislip",Initial entry,2019-09-13,,2023-10-21,"Pinner, Middlesex"
1584,84723959,2,"Mill Drive, Ruislip, HA4",665000,3,Town House,https://www.rightmove.co.uk/properties/84723959#/?channel=RES_BUY,"Coopers, Ruislip",Reduced,2020-06-01,,2023-10-21,"Pinner, Middlesex"
1585,84723959,3,"Mill Drive, Ruislip, HA4",675000,3,Town House,https://www.rightmove.co.uk/properties/84723959#/?channel=RES_BUY,"Coopers, Ruislip",Reduced,2021-04-01,,2023-10-21,"Pinner, Middlesex"
